国家,年份,自变量,城镇人口（占总人口比例）,人均 GDP（2010年不变价美元）,外国直接投资额（以当前价格计算，百万美元）,第一产业占比,
索马里,2012,835,41.558,,107.33,,
苏丹,2012,240345,33.346,1786.997305,2311,33.14337531,
斯威士兰,2012,0,22.849,4431.82376,31.535,10.20307297,
圣多美和普林西比,2012,93,67.16,1128.507361,22.5,11.82763978,
塞舌尔,2012,5421,54.12,11999.95385,261.36,2.044812859,
塞内加尔,2012,24174,44.603,1290.363391,276.175,13.96835532,
塞拉利昂,2012,8490,39.642,470.3014046,722.447,50.59211664,
尼日利亚,2012,499481,45.246,2384.954171,7127.39,21.85995862,
尼日尔,2012,43022,16.212,367.6467616,841.276,38.08173385,
南非,2012,69538,63.272,7500.041067,4558.847,2.169477737,
纳米比亚,2012,17941,43.693,5675.615887,1060.807,8.0544752,
莫桑比克,2012,29505,32.846,513.7390872,5629.41,24.91451109,
摩洛哥,2012,42317,59.142,2995.452357,2728.361,12.3295604,
毛里塔尼亚,2012,27867,48.4,1296.365966,1388.587,17.93135893,
毛里求斯,2012,36887,41.332,8580.085649,589.018,3.657270622,
马里,2012,44287,37.599,684.1629502,397.866,38.11410248,
马拉维,2012,15715,15.812,482.9237812,80.933,28.28892624,
马达加斯加,2012,14414,33.227,467.4358012,777.637,28.00061236,
卢旺达,2012,12384,16.943,650.3673999,254.963,28.850193,
利比亚,2012,5257,78.512,10066.57903,1425,0,
利比里亚,2012,30244,48.583,564.5208442,984.6,38.80205807,
莱索托,2012,10365,25.704,1341.94718,24.411,4.989084955,
肯尼亚,2012,130637,24.376,1000.829217,1380.174,26.1699503,
科特迪瓦,2012,9037,48.172,1222.439376,330.275,22.1902512,
科摩罗,2012,3203,28.123,1346.237353,10.412,30.17296341,
喀麦隆,2012,63406,52.769,1324.637966,739.177,13.72152458,
津巴布韦,2012,38296,32.834,1223.203432,399.5,8.044517527,
加蓬,2012,84052,86.634,9249.85821,-220.874,3.353697777,
加纳,2012,152503,52.073,1542.685183,3293.43,22.13115469,
几内亚(比绍),2012,3459,40.908,561.98665,6.625,46.89249801,
几内亚,2012,31400,34.255,719.6981727,606.47,16.83167319,
吉布提,2012,3760,77.138,,109.998,,
刚果(金),2012,96851,41.082,357.5982959,3312.143,20.44106071,
刚果(布),2012,102858,64.169,2858.08611,-282.835,3.925774106,
冈比亚,2012,197,57.105,783.2666928,41.2,27.39357146,
佛得角,2012,1530,62.821,3461.926651,125.576,8.446544468,
厄立特里亚,2012,3279,,,41.358,,
多哥,2012,14404,38.546,573.9239887,121.519,42.52391813,
赤道几内亚,2012,179449,69,18254.09645,985.256,1.055657092,
布隆迪,2012,4593,11.194,238.8160458,0.605,35.4205377,
